name,permalink,sector,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at
email data source,/company/email-data-source,,552167.0,operating,USA,NY,New York,new york,2.0,
foomanchew.com,/company/foomanchew-com,ecommerce,400000.0,operating,USA,TN,Nashville,brentwood,1.0,
collactive,/company/collactive,web,2000000.0,closed,USA,DE,Willmington,wilmington,1.0,
fresenius medical care balboa ii,/company/fresenius-medical-care-balboa-ii,health,9721630.0,operating,USA,MA,Boston,waltham,1.0,
integra health management,/company/integra-health-management,health,650000.0,operating,USA,MD,Washington DC,owings mills,1.0,
iris mobile,/company/iris-mobile,mobile,3000000.0,operating,USA,IL,Chicago,chicago,1.0,2008-01-01
kinematiq inc.,/company/kinematiq-inc,hardware,143600.0,operating,USA,MA,Boston,boston,1.0,2013-01-01
offline media,/company/offline-media,software,60000.0,operating,USA,NC,Raleigh-Durham,raleigh,1.0,2012-01-01
rinovum women's health,/company/rinovum-womens-health,hardware,5000000.0,operating,USA,PA,Pittsburg,monroeville,1.0,2009-01-01
saint luke's foundation,/company/saint-lukes-foundation,nonprofit,2950000.0,operating,USA,OH,Cleveland,cleveland,1.0,
prolify,/company/prolify,,4000000.0,closed,ISR,,Netanya,netanya,1.0,2002-01-01
glss,/company/glss,,2050000.0,operating,USA,CA,SF Bay,san francisco,1.0,2011-01-01
pokos communications,/company/pokos-communications,software,55000.0,operating,USA,NH,Portsmouth,portsmouth,1.0,2009-01-01
the original soupman,/company/the-original-soupman,other,2506000.0,operating,USA,NY,New York,staten island,2.0,1984-01-01
actionbase,/company/actionbase,advertising,400000.0,operating,ISR,,Tel Aviv,tel aviv,1.0,2007-03-01
nexis vision,/company/nexis-vision,biotech,6000000.0,operating,USA,CA,SF Bay,menlo park,1.0,2007-01-01
harbor biosciences,/company/harbor-biosciences,biotech,2825000.0,operating,USA,CA,San Diego,san diego,1.0,
montrue technologies,/company/montrue-technologies,software,200000.0,operating,USA,OR,Ashland,ashland,1.0,2010-01-01
galaxy digital,/company/galaxy-digital,software,249990.0,operating,USA,NC,Asheville,asheville,1.0,2009-01-01
carepeutics,/company/carepeutics,biotech,500000.0,operating,USA,WA,Seattle,seattle,1.0,2009-01-01
gadgetatm,/company/gadgetatm,hardware,100000.0,operating,USA,FL,Miami,miami,1.0,2013-01-07
geopal solutions,/company/geopal-solutions,enterprise,1929900.0,operating,IRL,,Dublin,dublin,1.0,2011-01-01
larada sciences,/company/larada-sciences,biotech,400469.0,operating,USA,UT,Salt Lake City,salt lake city,1.0,2006-01-01
panther express,/company/panther-express,games_video,21750000.0,acquired,USA,NY,New York,new york,2.0,2005-01-01
smartflow technologies,/company/smartflow-technologies,biotech,800000.0,operating,USA,NC,Raleigh-Durham,apex,1.0,1989-01-01
red bag solutions,/company/red-bag-solutions,manufacturing,1250000.0,operating,USA,MD,Baltimore,baltimore,1.0,1989-01-01
liquidm,/company/liquid-m,advertising,5000000.0,operating,USA,CA,SF Bay,san francisco,1.0,
curse,/company/curse,games_video,12000000.0,operating,USA,CA,SF Bay,san francisco,2.0,2006-01-01
litres,/company/litres,web,5000000.0,operating,RUS,,Moscow,moscow,1.0,2006-01-01
pittsburgh center for kidney research,/company/pittsburgh-center-for-kidney-research,education,5800000.0,operating,,,unknown,,1.0,
carrier energy partners,/company/carrier-energy-partners,cleantech,300000000.0,operating,USA,TX,Houston,sugar land,1.0,
